ID_Pedido,Produto,Categoria,Data,Quantidade,Valor Unitário,Localidade
442081,Macarrão,Alimentos,2023-01-27,24,8.16,Sudeste
821365,Ovos,Alimentos,2023-12-12,28,27.55,Sudeste
802752,Condicionador,Higiene Pessoal,2023-06-08,18,32.67,Sudeste
856124,Alface,Hortifruti,2022-11-01,23,13.3,Sul
233471,Banana,Hortifruti,2024-07-25,8,1.87,Centro-Oeste
410721,Peixe,Carnes,2023-06-19,49,64.66,Sul
329603,Café,Alimentos,2024-02-27,25,6.05,Nordeste
529033,Banana,Hortifruti,2024-08-21,47,13.75,Centro-Oeste
893336,Detergente,Limpeza,2024-09-05,27,29.9,Sudeste
378128,Leite,Alimentos,2022-11-22,13,15.15,Centro-Oeste
353671,Azeite,Alimentos,2023-02-17,5,9.74,Sudeste
688580,Carne,Carnes,2024-07-28,1,140.21,Norte
463469,Maçã,Hortifruti,2023-05-19,21,5.29,Norte
473025,Amaciante,Limpeza,2023-02-23,36,36.95,Norte
741220,Macarrão,Alimentos,2024-07-18,30,14.59,Centro-Oeste
382544,Leite,Alimentos,2024-03-04,24,6.73,Sudeste
253486,Azeite,Alimentos,2024-07-28,38,26.98,Norte
882486,Tomate,Hortifruti,2023-02-09,22,6.03,Sudeste
431064,Maçã,Hortifruti,2023-05-30,16,11.8,Norte
365704,Banana,Hortifruti,2023-07-14,7,5.7,Sul
938865,Macarrão,Alimentos,2023-10-06,7,20.4,Nordeste
302110,Detergente,Limpeza,2024-02-03,48,38.85,Centro-Oeste
695640,Arroz,Alimentos,2023-07-14,9,27.37,Centro-Oeste
792300,Tomate,Hortifruti,2023-04-07,37,8.71,Nordeste
213715,Laranja,Hortifruti,2023-10-17,22,6.53,Norte
669508,Frango,Carnes,2023-02-11,26,25.16,Norte
892240,Amaciante,Limpeza,2024-07-13,43,38.15,Norte
371429,Alface,Hortifruti,2022-10-23,26,14.35,Sudeste
589184,Café,Alimentos,2024-05-12,43,6.96,Sul
976022,Laranja,Hortifruti,2024-07-18,2,6.33,Norte
381675,Amaciante,Limpeza,2023-01-18,46,54.14,Centro-Oeste
619802,Condicionador,Higiene Pessoal,2023-09-03,29,12.1,Nordeste
927849,Amaciante,Limpeza,2023-03-21,44,56.92,Sul
401065,Detergente,Limpeza,2023-04-19,2,23.41,Norte
237542,Leite,Alimentos,2023-10-14,50,12.78,Nordeste
348765,Maçã,Hortifruti,2024-02-11,37,10.17,Sudeste
313703,Frango,Carnes,2023-02-04,44,37.26,Sudeste
457266,Macarrão,Alimentos,2024-07-29,39,18.02,Centro-Oeste
112375,Laranja,Hortifruti,2024-08-17,13,13.8,Norte
144659,Maçã,Hortifruti,2023-07-30,19,3.48,Nordeste
407384,Carne,Carnes,2023-09-17,30,94.08,Nordeste
439674,Banana,Hortifruti,2023-03-31,18,12.88,Sul
608270,Sabão em Pó,Limpeza,2023-05-01,32,46.99,Centro-Oeste
703282,Alface,Hortifruti,2023-01-26,10,11.49,Sudeste
450525,Sabão em Pó,Limpeza,2024-08-14,22,39.12,Norte
697198,Leite,Alimentos,2023-04-29,9,29.91,Nordeste
914031,Maçã,Hortifruti,2023-05-27,4,8.36,Sudeste
193507,Azeite,Alimentos,2024-05-23,32,13.27,Sul
400271,Alface,Hortifruti,2023-05-23,26,12.27,Nordeste
442777,Maçã,Hortifruti,2024-07-16,13,6.15,Sul
714167,Carne,Carnes,2023-06-25,6,71.77,Norte
238531,Detergente,Limpeza,2023-07-30,9,31.18,Sudeste
915022,Arroz,Alimentos,2023-11-26,3,3.68,Sudeste
722715,Arroz,Alimentos,2023-09-28,22,21.01,Nordeste
258298,Feijão,Alimentos,2023-11-02,44,16.79,Norte
599284,Banana,Hortifruti,2023-09-07,7,3.43,Norte
306964,Amaciante,Limpeza,2024-08-12,19,29.49,Sul
530103,Macarrão,Alimentos,2024-03-14,37,20.74,Centro-Oeste
359276,Detergente,Limpeza,2024-08-11,48,48.76,Norte
665348,Shampoo,Higiene Pessoal,2023-02-02,20,10.06,Sudeste
970727,Leite,Alimentos,2022-11-16,32,8.83,Centro-Oeste
560077,Laranja,Hortifruti,2023-07-10,14,5.43,Nordeste
142725,Shampoo,Higiene Pessoal,2024-01-09,2,23.36,Sudeste
352154,Amaciante,Limpeza,2023-01-06,36,52.67,Sul
623617,Maçã,Hortifruti,2024-08-04,23,8.44,Sudeste
235886,Carne,Carnes,2023-07-13,46,77.27,Centro-Oeste
415819,Condicionador,Higiene Pessoal,2023-05-10,33,42.5,Nordeste
647083,Macarrão,Alimentos,2022-12-22,14,8.87,Sul
207143,Frango,Carnes,2024-05-11,40,84.47,Norte
620482,Tomate,Hortifruti,2024-10-09,41,6.49,Nordeste
859930,Carne,Carnes,2023-02-18,21,53.71,Nordeste
154013,Peixe,Carnes,2024-02-21,15,77.74,Norte
175065,Tomate,Hortifruti,2023-11-03,22,8.22,Nordeste
971014,Laranja,Hortifruti,2024-09-16,17,4.07,Centro-Oeste
287692,Alface,Hortifruti,2023-01-19,42,8.06,Norte
950157,Arroz,Alimentos,2024-02-13,30,9.75,Centro-Oeste
288479,Leite,Alimentos,2023-09-19,28,18.2,Norte
217306,Maçã,Hortifruti,2023-05-04,50,9.2,Nordeste
841694,Shampoo,Higiene Pessoal,2023-10-26,43,27.03,Norte
402784,Sabão em Pó,Limpeza,2024-08-03,39,5.45,Centro-Oeste
710995,Sabão em Pó,Limpeza,2024-07-26,14,49.5,Norte
219790,Feijão,Alimentos,2024-02-10,42,19.45,Centro-Oeste
362844,Amaciante,Limpeza,2023-12-04,18,14.56,Sul
130618,Sabão em Pó,Limpeza,2022-12-27,50,23.61,Sudeste
376483,Carne,Carnes,2023-11-17,15,58.16,Nordeste
248771,Arroz,Alimentos,2024-03-16,36,20.76,Sul
558479,Maçã,Hortifruti,2023-11-10,10,8.7,Sul
251130,Azeite,Alimentos,2023-11-14,8,27.91,Sudeste
405785,Peixe,Carnes,2023-02-01,39,146.91,Nordeste
586932,Laranja,Hortifruti,2023-08-15,5,14.7,Centro-Oeste
209363,Detergente,Limpeza,2024-05-13,35,10.37,Norte
235895,Peixe,Carnes,2023-09-07,40,95.14,Sudeste
112407,Alface,Hortifruti,2024-02-13,1,1.97,Sul
501137,Peixe,Carnes,2023-08-02,41,119.68,Sul
332383,Café,Alimentos,2023-05-14,30,16.33,Norte
471560,Frango,Carnes,2023-09-28,10,106.81,Norte
769627,Café,Alimentos,2023-04-06,41,18.62,Nordeste
189362,Tomate,Hortifruti,2023-04-30,24,13.76,Nordeste
837409,Peixe,Carnes,2024-06-26,43,136.41,Nordeste
319010,Feijão,Alimentos,2022-11-30,49,21.25,Nordeste
360262,Ovos,Alimentos,2024-08-11,32,4.97,Nordeste
936190,Feijão,Alimentos,2023-02-01,28,6.67,Sudeste
136118,Carne,Carnes,2024-07-07,21,25.95,Sul
722075,Arroz,Alimentos,2023-12-10,47,10.79,Centro-Oeste
638238,Sabão em Pó,Limpeza,2023-03-21,33,20.9,Nordeste
709039,Ovos,Alimentos,2022-11-20,29,20.73,Nordeste
930150,Macarrão,Alimentos,2024-06-20,19,19.21,Nordeste
245220,Ovos,Alimentos,2024-02-15,17,28.89,Sul
992240,Banana,Hortifruti,2023-11-08,13,9.3,Sudeste
625193,Ovos,Alimentos,2023-03-13,11,18.75,Nordeste
243404,Laranja,Hortifruti,2023-11-19,13,10.52,Nordeste
689610,Feijão,Alimentos,2024-01-04,7,3.68,Norte
915267,Detergente,Limpeza,2023-02-24,49,30.3,Sudeste
268735,Leite,Alimentos,2022-10-31,48,23.77,Sul
284845,Frango,Carnes,2023-12-16,23,137.69,Centro-Oeste
231193,Frango,Carnes,2024-05-21,36,33.83,Nordeste
155587,Sabão em Pó,Limpeza,2024-06-18,5,49.37,Nordeste
962684,Peixe,Carnes,2023-04-26,15,35.93,Nordeste
513631,Peixe,Carnes,2023-02-15,9,108.31,Sul
419759,Sabão em Pó,Limpeza,2023-04-29,44,32.18,Norte
154879,Café,Alimentos,2023-09-17,43,16.19,Sudeste
207115,Frango,Carnes,2024-07-12,20,89.81,Norte
186120,Amaciante,Limpeza,2023-10-26,18,8.45,Sudeste
805784,Maçã,Hortifruti,2024-07-29,19,8.18,Norte
652385,Condicionador,Higiene Pessoal,2024-07-08,33,61.66,Centro-Oeste
680557,Tomate,Hortifruti,2023-03-18,14,6.04,Sul
879026,Arroz,Alimentos,2023-11-06,8,28.47,Centro-Oeste
345471,Maçã,Hortifruti,2023-06-28,22,9.19,Sudeste
389523,Feijão,Alimentos,2023-01-12,41,22.12,Nordeste
495199,Sabão em Pó,Limpeza,2023-02-24,3,35.93,Norte
441789,Alface,Hortifruti,2024-04-16,29,10.68,Sul
926900,Tomate,Hortifruti,2023-04-07,42,5.57,Norte
620707,Amaciante,Limpeza,2023-02-13,7,11.54,Norte
597509,Laranja,Hortifruti,2023-01-06,13,13.33,Centro-Oeste
810856,Peixe,Carnes,2023-07-18,3,80.53,Sudeste
783345,Tomate,Hortifruti,2024-08-25,49,10.76,Sudeste
894723,Banana,Hortifruti,2024-06-26,43,6.16,Sul
380212,Shampoo,Higiene Pessoal,2024-06-16,16,34.32,Sul
912175,Sabão em Pó,Limpeza,2024-04-09,47,55.02,Sudeste
270482,Frango,Carnes,2024-01-16,26,42.56,Centro-Oeste
305785,Condicionador,Higiene Pessoal,2023-06-07,42,15.65,Nordeste
526297,Carne,Carnes,2023-05-11,22,139.21,Sudeste
455541,Condicionador,Higiene Pessoal,2024-01-10,46,32.2,Nordeste
865760,Carne,Carnes,2023-06-02,36,42.98,Sul
196206,Banana,Hortifruti,2023-11-23,28,7.33,Nordeste
840688,Ovos,Alimentos,2023-01-14,46,25.05,Sudeste
597188,Laranja,Hortifruti,2023-05-28,25,10.5,Sudeste
794294,Detergente,Limpeza,2023-03-12,37,36.82,Norte
125911,Detergente,Limpeza,2023-05-12,16,49.8,Nordeste
147743,Feijão,Alimentos,2022-10-10,15,25.07,Sul
493766,Condicionador,Higiene Pessoal,2023-05-28,28,77.02,Sudeste
933968,Sabão em Pó,Limpeza,2024-02-22,6,52.66,Norte
261006,Maçã,Hortifruti,2024-02-28,4,6.3,Centro-Oeste
409509,Shampoo,Higiene Pessoal,2024-08-07,37,23.46,Centro-Oeste
408176,Sabão em Pó,Limpeza,2024-03-03,44,34.75,Nordeste
519470,Arroz,Alimentos,2023-05-23,30,28.43,Norte
993884,Detergente,Limpeza,2023-10-26,49,50.31,Nordeste
901295,Arroz,Alimentos,2024-08-02,47,14.68,Centro-Oeste
230686,Sabão em Pó,Limpeza,2023-11-15,17,51.32,Centro-Oeste
300919,Banana,Hortifruti,2024-01-18,43,1.75,Centro-Oeste
274395,Azeite,Alimentos,2023-01-08,37,26.13,Nordeste
992835,Sabão em Pó,Limpeza,2023-05-31,40,55.53,Centro-Oeste
227762,Condicionador,Higiene Pessoal,2023-09-12,9,12.1,Centro-Oeste
788159,Tomate,Hortifruti,2023-11-18,46,8.04,Centro-Oeste
133140,Arroz,Alimentos,2024-08-15,9,4.17,Sul
712756,Maçã,Hortifruti,2024-09-30,2,3.37,Norte
591730,Maçã,Hortifruti,2024-05-30,37,5.13,Sudeste
807676,Azeite,Alimentos,2024-03-29,33,5.94,Norte
721046,Carne,Carnes,2024-08-06,11,84.34,Nordeste
344589,Detergente,Limpeza,2023-01-26,10,18.28,Norte
146100,Laranja,Hortifruti,2023-06-24,32,14.23,Sul
439631,Alface,Hortifruti,2023-04-07,49,14.89,Centro-Oeste
598879,Frango,Carnes,2024-08-07,33,65.34,Centro-Oeste
924603,Ovos,Alimentos,2024-03-03,42,23.59,Nordeste
157827,Banana,Hortifruti,2024-08-28,35,4.81,Centro-Oeste
255040,Feijão,Alimentos,2024-09-04,11,18.32,Norte
348459,Ovos,Alimentos,2023-08-25,6,26.42,Sudeste
907300,Condicionador,Higiene Pessoal,2024-10-02,11,25.14,Norte
388430,Amaciante,Limpeza,2024-02-04,24,9.3,Sul
488183,Frango,Carnes,2023-07-01,12,36.42,Sul
820914,Arroz,Alimentos,2024-09-26,28,27.35,Nordeste
161437,Frango,Carnes,2023-01-17,30,76.99,Sudeste
774041,Amaciante,Limpeza,2024-01-27,28,13.37,Sul
668973,Ovos,Alimentos,2023-09-07,25,10.15,Sul
402939,Leite,Alimentos,2023-09-14,11,6.99,Centro-Oeste
819944,Macarrão,Alimentos,2023-04-09,33,29.65,Nordeste
357376,Ovos,Alimentos,2022-10-14,33,19.97,Sudeste
544167,Alface,Hortifruti,2022-11-19,31,9.81,Sudeste
990291,Ovos,Alimentos,2023-01-20,36,18.28,Sudeste
230739,Detergente,Limpeza,2022-12-24,26,8.11,Nordeste
623184,Tomate,Hortifruti,2023-08-12,21,11.96,Norte
984393,Arroz,Alimentos,2023-10-05,38,14.22,Sudeste
838217,Shampoo,Higiene Pessoal,2022-11-04,30,52.92,Sudeste
615298,Laranja,Hortifruti,2023-12-17,2,8.84,Centro-Oeste
591774,Laranja,Hortifruti,2024-03-16,50,4.57,Sudeste
739966,Amaciante,Limpeza,2024-04-13,21,26.38,Centro-Oeste
822457,Sabão em Pó,Limpeza,2023-02-22,34,16.09,Sudeste
449237,Leite,Alimentos,2023-11-10,29,26.49,Sul
365150,Arroz,Alimentos,2023-03-30,31,14.89,Norte
973047,Peixe,Carnes,2023-01-31,22,29.3,Nordeste
647802,Ovos,Alimentos,2023-01-16,39,17.81,Sul
452879,Azeite,Alimentos,2023-05-03,9,25.91,Sudeste
484869,Leite,Alimentos,2024-03-21,50,29.63,Centro-Oeste
162879,Azeite,Alimentos,2022-12-22,6,16.83,Centro-Oeste
394591,Amaciante,Limpeza,2024-01-09,4,48.61,Sudeste
344248,Macarrão,Alimentos,2023-01-17,16,4.45,Sul
182884,Arroz,Alimentos,2024-04-27,37,25.57,Sul
854805,Feijão,Alimentos,2024-07-11,46,17.56,Nordeste
302479,Sabão em Pó,Limpeza,2023-03-05,21,33.98,Nordeste
834584,Shampoo,Higiene Pessoal,2023-04-18,38,67.57,Norte
449899,Sabão em Pó,Limpeza,2023-05-16,48,56.51,Sudeste
468124,Carne,Carnes,2023-05-27,15,71.37,Sudeste
497252,Condicionador,Higiene Pessoal,2023-02-22,39,52.17,Centro-Oeste
106383,Carne,Carnes,2023-06-04,4,67.05,Sul
148669,Tomate,Hortifruti,2022-10-20,31,3.27,Sul
855906,Ovos,Alimentos,2024-01-14,30,6.31,Norte
845236,Ovos,Alimentos,2023-01-18,19,6.54,Norte
116728,Shampoo,Higiene Pessoal,2023-07-05,49,54.87,Norte
968084,Laranja,Hortifruti,2022-10-20,25,8.59,Centro-Oeste
117124,Alface,Hortifruti,2022-12-15,43,11.19,Sudeste
205094,Frango,Carnes,2023-08-29,14,106.18,Nordeste
401738,Café,Alimentos,2023-06-25,40,19.6,Nordeste
126339,Maçã,Hortifruti,2023-12-17,27,8.73,Sudeste
111322,Peixe,Carnes,2024-02-28,43,57.02,Sudeste
778155,Arroz,Alimentos,2024-07-03,41,12.53,Sul
481838,Feijão,Alimentos,2022-12-24,35,2.02,Sul
965826,Café,Alimentos,2023-10-22,21,27.57,Centro-Oeste
777761,Leite,Alimentos,2023-06-01,18,24.25,Norte
679360,Arroz,Alimentos,2023-06-09,30,29.95,Centro-Oeste
592442,Macarrão,Alimentos,2023-07-22,31,26.72,Centro-Oeste
183358,Feijão,Alimentos,2023-01-05,8,24.97,Centro-Oeste
872365,Leite,Alimentos,2023-05-25,14,6.74,Sul
131128,Detergente,Limpeza,2023-10-26,23,6.26,Centro-Oeste
394841,Condicionador,Higiene Pessoal,2024-04-05,37,42.34,Norte
245283,Amaciante,Limpeza,2022-11-23,19,16.86,Norte
123381,Arroz,Alimentos,2023-09-17,29,24.7,Centro-Oeste
140658,Leite,Alimentos,2023-02-10,37,8.06,Sudeste
621556,Arroz,Alimentos,2024-03-15,49,26.88,Centro-Oeste
475003,Frango,Carnes,2024-08-11,44,140.5,Sul
284855,Peixe,Carnes,2023-06-01,40,106.72,Norte
961824,Café,Alimentos,2022-12-18,17,7.77,Norte
